track_id,track_name,track_artist,lyrics,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,language
3Qa944OTMZkg8DHjET8JQv,Woods,Mac Miller,"Yeah, yeah, yeah, yeah, yeah, yeah Yeah, things like this ain't built to last I might just fade like those before me When will you forget my past? Got questions, ask, you know the stories And you need to let me know When you're leaving, where you go Can I come? Do you believe me, are you close? Yeah, even if you don't That'll get you sprung Do I, do I, do I love? Can I, can I, can I get enough? Yeah, don't run away, love Hate love, heartbreak will have you bankrupt Too many days in a daze, better wake up I put your face in a place where the space was Nobody makes you feel like you but (Do I?) And you don't know what you should do You just lookin' for someone to make you move, ooh, tell me (Do I?) I make this planet feel like home It's us versus time, the door is closing So far beyond all our control You saved a soul so close to broken It's so much better when you wait Forever and a day, that's all I got Put it together then it break All the energy it take, it never stop Do I, do I, do I love? Can I, can I, can I get enough? Yeah, I never slip, I never fall I tried to tell you 'bout a better life And get involved big or small It's been my fault, I keep it safe, it's in the vault Blindfolded, keep it going 'til we hit a wall, yeah I'm never going through the motions I'm just tryna lay your body down slowly We can only go up We can only go up Do I, do I, do I love? Can I, can I, can I get enough?",72,5sY6UIQ32GqwMLAfSNEaXb,Circles,2020-01-17,permanent wave,3uFyGoayrP71xS6T6Y8Bh2,rock,permanent wave,0.779,0.362,0,-10.847,1,0.0474,0.135,0.206,0.111,0.46,85.01100000000002,286387,en
5OwponLnwCAYnWql6cwBru,Drain You,Nirvana,"One baby to another says, ""I'm lucky to have met you"" I don't care what you think unless it is about me It is now my duty to completely drain you I travel through a tube and end up in your infection Chew your meat for you Pass it back and forth In a passionate kiss From my mouth to yours I like you With eyes so dilated, I've become your pupil You taught me everything without a poison apple The water is so yellow, I'm a healthy student Indebted and so grateful, vacuum out the fluids Chew your meat for you Pass it back and forth In a passionate kiss From my mouth to yours I like you You, you, you You, you, you One baby to another says, ""I'm lucky to have met you"" I don't care what you think unless it is about me It is now my duty to completely drain you I travel through a tube and end up in your infection Chew your meat for you Pass it back and forth In a passionate kiss From my mouth to yours Sloppy lips to lips You're my vitamins I like you",58,2uEf3r9i2bnxwJQsxQ0xQ7,Nevermind (Deluxe Edition),1991-09-26,keg party jukebox,4PjiT7SWnUsTTTvKOuR76f,rock,permanent wave,0.325,0.929,11,-5.625,0,0.0695,1.29e-4,2.22e-6,0.184,0.198,133.358,223880,en
2pxAohyJptQWTQ5ZRWYijN,The Trooper - 1998 Remastered Version,Iron Maiden,"You'll take my life but I'll take yours too You'll fire your musket but I'll run you through So when you're waiting for the next attack You'd better stand there's no turning back The bugle sounds, the charge begins But on this battlefield no one wins The smell of acrid smoke and horse's breath As I plunge on into certain death Oh oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh oh The horse he sweats with fear we break to run The mighty roar of the Russian guns And as we race towards the human wall The screams of pain as my comrades fall We hurdle bodies that lay on the ground And the Russians fire another round We get so near yet so far away We won't live to fight another day Oh oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh oh We get so close, near enough to fight When a Russian gets me in his sights He pulls the trigger and I feel the blow A burst of rounds takes my horse below And as I lay there gazing at the sky My body's numb and my throat is dry And as I lay forgotten and alone Without a tear I draw my parting groan Oh oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh oh",8,3dFAfH33aNku65qm8IPS54,Piece Of Mind (1998 Remastered Edition),1983-05-16,Classic Hard Rock,1gAeQGQ7hr2q7IYmaejDW6,rock,hard rock,0.28600000000000003,0.856,4,-6.777,0,0.0585,0.0238,0.0542,0.487,0.696,162.12,250973,en
78bOURRHOm19pTFIh0yuEN,And I Love Her - Live On MTV Unplugged,Paul McCartney,"I give her all my love That's all I do And If you saw my love You'd love her, too I love her She gives me everything And tenderly The kiss my lover brings She brings to me And I love her A love like ours Could never die As long as I Have you near me Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her",0,2U1gk6FoGmwgy3SMA2KjX6,Unplugged - The Official Bootleg,1991-05-20,The Black Album,0KNLLunbFh9XgitPMOGmQg,rock,album rock,0.634,0.188,1,-24.328000000000007,0,0.0354,0.509,9.84e-5,0.114,0.556,79.64699999999998,256933,en
6u9aD8ovEo4SJY76litOCd,House Of Gold,Atreyu,"The sky opened up the day you were born I was so lost, broken and torn There was no hope, no joy in my life Ended my darkness by bringing the light As I fought through the flames Now you save me You give me a reason to feel like I belong here I've been building this house made of gold Darling, have no fear Yeah, I pushed through the rain and the cold And forgot all the pain that I've known Yeah, you give me a reason to feel like I belong here In this house made of gold Daylight sang from the sky And burned through the violence inside my mind (Your eyes, your eyes Your infinite eyes Your innocence shines My shadows, they die) Gone is the wandering soul Once half a man, now my heart, my heart has come home (My heart, my heart You'll never be alone A paradise found You are my true north) As I fought through the flames Yeah, you saved me You give me a reason to feel like I belong here I've been building this house made of gold Darling, have no fear Yeah, I pushed through the rain and the cold And forgot all the pain that I've known Yeah, you give me a reason to feel like I belong here In this house made of gold NA You give me a reason to feel like I belong here I've been building this house made of gold Darling, have no fear Yeah, I pushed through the rain and the cold And forgot all the pain that I've known Yeah, you give me a reason to feel like I belong here In this house made of gold",57,2CzkXD7h92NTeWu8seWhjt,In Our Wake,2018-10-12,Hard Rock Workout,5nOO372uzpOM5rB2bRWfkp,rock,hard rock,0.339,0.943,0,-4.285,1,0.125,0.0174,0,0.0593,0.4270000000000001,184.999,238662,en
28Dm6CL7cbB5hv8BLNLHJH,Last Kiss,Pearl Jam,"Oh where, oh where can my baby be? The Lord took her away from me She's gone to heaven, so I got to be good So I can see my baby when I leave this world We were out on a date in my daddy's car We hadn't driven very far There in the road, up straight ahead A car was stalled, the engine was dead I couldn't stop, so I swerved to the right I'll never forget the sound that night The screaming tires, the busting glass The painful scream that I heard last Oh where, oh where can my baby be? The Lord took her away from me She's gone to heaven, so I got to be good So I can see my baby when I leave this world When I woke up, the rain was pouring down There were people standing all around Something warm running in my eyes But somehow I found my baby that night I lifted her head, she looked at me and said ""Hold me darling just a little while.""I held her close, I kissed her our last kiss I found the love that I knew I would miss But now she's gone, even though I hold her tight I lost my love, my life that night Oh where, oh where can my baby be? The Lord took her away from me She's gone to heaven, so I got to be good So I can see my baby when I leave this world Ooh, ooh-ooh",0,1fMgoVuQfosMh6DoUAr2Yg,rearviewmirror (greatest hits 1991-2003),2004,keg party jukebox,4PjiT7SWnUsTTTvKOuR76f,rock,permanent wave,0.618,0.741,7,-5.18,1,0.0277,0.336,0,0.103,0.722,112.029,196667,en
3Ud6fFep5ZlXzRWw6Sm8no,Walk Of Life,Dire Straits,"Here comes Johnny singing oldies, goldies Be-Bop-A-Lula, Baby What I Say Here comes Johnny singing I Got a Woman Down in the tunnels, trying to make it pay He got the action, he got the motion Yeah, the boy can play Dedication, devotion Turning all the night time into the day He do the song about the sweet lovin' woman He do the song about the knife He do the walk, he do the walk of life Yeah, he do the walk of life Here comes Johnny gonna tell you the story Hand me down my walkin' shoes Here come Johnny with the power and the glory Backbeat, the talkin' blues He got the action, he got the motion Yeah, the boy can play Dedication, devotion Turning all the night time into the day He do the song about the sweet lovin' woman He do the song about the knife And he do the walk, he do the walk of life Yeah, he do the walk of life Here comes Johnny singing oldies, goldies Be-Bop-A-Lula, Baby What I Say Here comes Johnny singing I Gotta Woman Down in the tunnels, trying to make it pay He got the action, he got the motion Yeah, the boy can play Dedication, devotion Turning all the night time into the day And after all the violence and double talk There's just a song in all the trouble and the strife You do the walk, yeah, you do the walk of life Mmm, they do the walk of life",75,15J400U0rEpgE64UQgtvLs,Brothers In Arms,1985-05-13,HARD ROCK CAFE,55ybnG2z8rpTIerRfnCsw6,rock,hard rock,0.461,0.918,4,-8.507,1,0.0959,0.405,3.3e-4,0.126,0.802,172.435,249960,en
5YscJrQyvJVR7vPznSj0gy,Slipping Away (Crier la Vie) [Radio Mix],Moby,"All that we needed was right The threshold is breaking tonight Open to everything happy and sad Seeing the good when it's all going bad Seeing the sun when I can't really see Hoping the sun will at least look at me Focus on everything better today All that I needed I never could say Hold on to people, they're slipping away Hold on to this while it's slipping away All that we needed tonight Are people who love us and like I know how it feels to need Oh when we leave here, you'll see Open to everything happy and sad Seeing the good when it's all going bad Seeing the sun when I can't really see Hoping the sun will at least look at me Focus on everything better today All that I needed I never could say Hold on to people, they're slipping away Hold on to this while it's slipping away So long So long Open to everything happy and sad Seeing the good when it's all going bad Seeing the sun when I can't really see Hoping the sun will at least look at me Focus on everything better today All that I needed I never could say Hold on to people, they're slipping away Hold on to this while it's slipping away",0,6oh2UHEBFyIoJyyoOtqOv2,Go - The Very Best of Moby (Remastered),2006,L' ALBUM ROCK,0jilq2XZP9F2fwzp2k6iXK,rock,album rock,0.621,0.86,11,-8.227,0,0.0318,0.0275,0.00172,0.713,0.772,127.97,219560,en
78aWb3IqcEa8n7mInJiatR,Alone,Wishbone Ash,"Sit by the river's edge, and watch the water flow Sunlight that touched your face, and told you not to go Where, oh where, you search your heart - how much do you need? All the things that take you far away from being alone Stay where your fellowship have watched you hide inside Don't you alarm the path where danger's arrows fly Places everywhere that seem to have no other days Calling out from what could only still be all alone Rain falls into your life, and leisure steals away Love and wishes floating down under today Sit by the river's edge, and watch the water flow Sunlight that touched your face, and told you not to go Where, oh where, you ask yourself - how much do you need? All the things that take you far away from being alone",0,4LQH2ku8ZXwzvwJbqxIYFM,Pilgrimage,1971,Progressive Rock / Metal - Rock /Metal  Progresivo,7GhTpb4eOp6403Bmgqz3db,rock,album rock,0.66,0.574,7,-14.813,1,0.0334,0.00125,0.631,0.106,0.868,101.549,144289,en
64Ret7Tf2M8pDE4aqbW2tX,One,Metallica,"NA I can't remember anything Can't tell if this is true or a dream Deep down inside I feel to scream This terrible silence stops with me Now that the war is through with me I'm waking up, I cannot see That there's not much left of me Nothing is real but pain now Hold my breath as I wish for death Oh please God, wake me Back in the womb it's much too real In pumps life that I must feel But can't look forward to reveal Look to the time when I'll live Fed through the tube that sticks in me Just like a wartime novelty Tied to machines that make me be Cut this life off from me Hold my breath as I wish for death Oh please God, wake me NA Now the world is gone, I'm just one Oh, God help me Hold my breath as I wish for death Oh please God, help me NA Darkness imprisoning me All that I see, absolute horror I cannot live, I cannot die Trapped in myself, body my holding cell Landmine has taken my sight Taken my speech, taken my hearing Taken my arms, taken my legs Taken my soul, left me with life in Hell NA",14,69oeRoYEpSsNPGVuYRxfoB,...And Justice For All,1988-08-25,Hard Rock Classics 1967-1991 (Party Edition),1NIX36ZFWEtgXSbSNghoue,rock,hard rock,0.444,0.703,7,-9.443,1,0.0641,0.00112,0.0761,0.127,0.419,106.228,447440,en
